id,timestamp,latency_ms
296,1743557510.6046925,1.085
297,1743557510.7086232,1.089
298,1743557510.812951,1.093
299,1743557510.916967,1.161
300,1743557511.0208964,1.327
301,1743557511.1241148,1.973
302,1743557511.2244513,1.118
303,1743557511.329321,1.954
304,1743557511.4329176,1.144
305,1743557511.5372567,1.434
306,1743557511.6399322,1.623
307,1743557511.744523,2.173
308,1743557511.8475046,1.841
309,1743557511.9512098,1.085
310,1743557512.055295,1.675
311,1743557512.1576607,1.938
312,1743557512.2617354,1.442
313,1743557512.3656855,1.35
314,1743557512.46983,1.377
315,1743557512.5752928,2.586
316,1743557512.6789339,1.586
317,1743557512.784364,2.455
318,1743557512.8883853,1.925
319,1743557512.9927318,1.563
320,1743557512.3051794,2.204
321,1743557512.4079313,2.0
322,1743557512.5117471,1.356
323,1743557512.615714,1.302
324,1743557512.7199829,1.341
325,1743557511.6774635,1.056
326,1743557511.7792768,1.45
327,1743557511.8796782,1.123
328,1743557511.98376,1.356
329,1743557512.088377,1.564
330,1743557512.190756,1.128
331,1743557512.2955213,1.709
332,1743557512.3995633,1.322
333,1743557512.5036404,1.518
334,1743557512.6077304,1.358
335,1743557512.7116885,1.255
336,1743557512.8166862,1.928
337,1743557512.9182773,1.319
338,1743557513.022495,1.302
339,1743557513.1279538,2.238
340,1743557513.2302458,1.614
341,1743557513.3344245,2.238
342,1743557513.4385173,1.841
343,1743557513.5423496,1.584
344,1743557513.6482003,2.712
345,1743557513.7520328,2.026
346,1743557513.8553603,1.24
347,1743557513.959842,1.34
348,1743557514.06354,1.849
349,1743557514.1664195,1.204
350,1743557514.2690663,1.259
351,1743557514.373563,1.745
352,1743557514.4793332,2.677
353,1743557514.5829754,1.781
354,1743557514.6877778,2.113
355,1743557514.7920969,2.149
356,1743557514.8957756,1.552
357,1743557515.0003614,1.52
358,1743557515.10454,1.441
359,1743557515.2093349,1.811
360,1743557515.3108513,1.602
361,1743557515.41661,2.695
362,1743557515.5203924,1.546
363,1743557515.625078,1.953
364,1743557515.7297554,2.09
365,1743557515.8333018,1.554
366,1743557515.937004,1.271
367,1743557516.038861,1.527
368,1743557516.1416097,1.366
369,1743557516.2453592,1.163
370,1743557516.3479412,1.285
371,1743557516.451935,1.468
372,1743557516.5561163,1.328
373,1743557516.6604242,1.153
374,1743557516.764978,1.728
375,1743557516.8688967,1.254
376,1743557516.9733555,2.29
377,1743557517.0780902,2.174
378,1743557517.1824055,1.95
379,1743557517.2863576,1.281
380,1743557517.3889582,1.171
381,1743557517.493913,2.144
382,1743557517.5976124,1.304
383,1743557517.7020178,1.875
384,1743557517.8067713,2.394
385,1743557517.908257,1.821
386,1743557518.0114796,1.166
387,1743557518.1127706,1.472
388,1743557518.2175052,1.976
389,1743557518.3225882,2.706
390,1743557518.4253464,2.296
391,1743557518.5292344,1.369
392,1743557518.6343021,2.194
393,1743557518.738024,1.402
394,1743557518.8423634,1.448
395,1743557518.9465878,1.273
396,1743557519.0504816,1.417
397,1743557519.1548848,1.56
398,1743557519.2590857,1.389
399,1743557519.363533,1.919
400,1743557519.4654818,1.348
401,1743557519.5705671,1.873
402,1743557519.674002,1.064
403,1743557519.7787073,1.545
