timestamp,cpu_percent
1743557482.6562867,5.0
1743557483.659207,1.7
1743557484.662978,0.1
1743557483.8225021,0.3
1743557484.8257408,0.1
1743557485.8297722,0.1
1743557486.832669,0.0
1743557487.8433545,0.0
1743557488.8469608,0.2
1743557489.8609889,0.2
1743557490.868964,0.5
1743557491.888607,0.1
1743557492.89904,0.1
1743557493.9137876,0.1
1743557494.9145613,0.3
1743557495.9265368,0.1
1743557496.935054,0.1
1743557497.9397125,0.1
1743557498.959343,0.5
1743557500.0266652,0.1
1743557501.0984938,0.3
1743557502.1006799,3.0
1743557503.1038854,0.1
1743557504.1075046,0.2
1743557505.112777,0.2
1743557506.115398,0.1
1743557507.1193068,0.1
1743557508.122697,0.0
1743557509.1251862,0.4
1743557510.128961,0.6
1743557511.1306493,0.1
1743557512.1347437,0.1
1743557512.347584,0.2
1743557512.2070003,0.1
1743557513.2105825,0.2
1743557514.2151344,0.2
1743557515.2173324,0.1
1743557516.2207758,0.1
1743557517.2249773,0.2
1743557518.2277303,0.2
1743557519.2314823,0.2
1743557520.235557,1.9
1743557521.2378485,1.0
1743557522.2558348,0.2
1743557523.2665844,0.1
1743557524.2693017,0.0
1743557525.275715,0.1
1743557526.281335,0.3
1743557527.297187,0.4
1743557528.307494,0.1
1743557529.3111143,0.2
1743557530.3143587,0.3
1743557531.321279,0.1
1743557532.33913,0.1
1743557533.3499358,0.2
1743557534.3562653,0.0
1743557535.3728852,0.2
1743557536.3833098,0.2
1743557537.385391,0.2
1743557538.3930764,0.3
1743557539.3997657,4.2
1743557540.4003506,0.9
1743557539.7743921,0.3
1743557540.7797816,0.7
1743557541.7843702,0.1
1743557542.7925045,0.1
1743557543.7984927,0.1
1743557544.802614,0.0
1743557545.805185,0.1
1743557546.812236,0.2
1743557547.8167646,0.2
1743557548.8191779,0.2
1743557549.825676,0.2
1743557550.8306358,0.2
1743557551.8332856,0.2
1743557552.8400958,0.2
1743557553.8449478,0.4
1743557554.8470054,0.2
1743557555.8666024,0.1
1743557556.8987675,0.1
1743557557.9029496,0.1
1743557558.9111633,0.2
1743557559.9169943,0.2
1743557560.9202378,0.1
1743557561.9279683,0.1
1743557562.933451,1.3
1743557563.9366035,0.2
1743557564.9439256,0.1
1743557565.9484804,0.1
1743557566.9509056,0.1
1743557567.9575946,0.2
1743557568.9622595,0.0
1743557569.1629303,0.2
1743557568.9633749,0.7
1743557569.966361,0.2
1743557570.9694705,0.2
1743557571.9764807,0.2
1743557572.981681,0.1
1743557573.9841502,0.4
1743557574.9916692,0.2
1743557575.9968233,0.2
1743557576.9999347,0.1
1743557578.004014,0.2
1743557579.0156183,1.6
1743557580.0605345,0.1
1743557581.0880804,0.2
1743557582.0976717,0.0
1743557583.132225,0.1
1743557584.1439092,0.1
1743557585.181193,0.1
1743557586.1940107,0.0
1743557587.2059617,1.6
1743557588.2414231,0.0
1743557589.2563937,0.1
1743557590.2661974,0.0
1743557591.2983491,0.1
1743557592.3154614,0.0
1743557593.3462188,0.0
1743557594.3565307,0.0
1743557595.384207,0.0
1743557596.405798,0.0
