timestamp,cpu_percent
1743557482.6589842,4.9
1743557483.6627169,1.7
1743557484.6659963,0.1
1743557483.825318,0.3
1743557484.8285325,0.1
1743557485.8297637,0.1
1743557486.8459694,0.0
1743557487.8501685,0.0
1743557488.8544862,0.2
1743557489.878355,0.3
1743557490.8916,0.4
1743557491.9189427,0.1
1743557492.9217162,0.1
1743557493.9276829,0.1
1743557494.9320602,0.2
1743557495.941308,0.1
1743557496.9544382,0.1
1743557497.9691749,0.1
1743557498.9794376,0.5
1743557499.9900236,0.1
1743557500.9943893,0.3
1743557502.0000925,3.0
1743557503.0035467,0.1
1743557504.0075815,0.2
1743557505.0229242,0.2
1743557506.033132,0.1
1743557507.0363402,0.0
1743557508.0514023,0.1
1743557509.0588336,0.4
1743557510.0618458,0.6
1743557511.0750904,0.1
1743557512.080965,0.1
1743557512.2924883,0.3
1743557512.1516807,0.1
1743557513.1550684,0.2
1743557514.1599348,0.2
1743557515.1626112,0.2
1743557516.1657922,0.1
1743557517.1702714,0.2
1743557518.1729548,0.2
1743557519.1760159,0.2
1743557520.17702,1.8
1743557521.1831145,1.1
1743557522.19719,0.2
1743557523.2035737,0.1
1743557524.2195895,0.0
1743557525.2232132,0.1
1743557526.225754,0.3
1743557527.2382948,0.4
1743557528.2487733,0.1
1743557529.2585502,0.2
1743557530.2654088,0.2
1743557531.268572,0.1
1743557532.2716744,0.1
1743557533.2784526,0.2
1743557534.2832468,0.0
1743557535.285891,0.2
1743557536.2905276,0.1
1743557537.2947786,0.2
1743557538.2958078,0.4
1743557539.2973828,4.2
1743557540.301415,0.1
1743557540.700002,0.8
1743557540.6875103,0.9
1743557541.6922581,0.1
1743557542.7052088,0.1
1743557543.738119,0.1
1743557544.7449617,0.0
1743557545.7691998,0.1
1743557546.7755983,0.2
1743557547.790822,0.2
1743557548.8150575,0.2
1743557549.8214078,0.2
1743557550.8344443,0.2
1743557551.8363814,0.2
1743557552.8499737,0.2
1743557553.8517015,0.4
1743557554.8543577,0.2
1743557555.8609712,0.1
1743557556.8654037,0.1
1743557557.8741553,0.1
1743557558.9019353,0.2
1743557559.949587,0.2
1743557560.963155,0.1
1743557562.0019972,0.1
1743557563.012663,1.4
1743557564.0422568,0.2
1743557565.0837576,0.1
1743557566.0904284,0.1
1743557567.1517694,0.1
1743557568.2118497,0.2
1743557569.2190115,0.1
1743557568.2158492,0.2
1743557569.2301424,0.7
1743557570.270984,0.2
1743557571.286409,0.2
1743557572.317608,0.1
1743557573.32446,0.3
1743557574.3308895,0.4
1743557575.3466477,0.1
1743557576.3599463,0.2
1743557577.3731854,0.1
1743557578.3753285,1.1
1743557579.3838427,0.7
1743557580.402314,0.1
1743557581.4086657,0.2
1743557582.4114501,0.0
1743557583.4127235,0.1
1743557584.4325242,0.0
1743557585.4612112,0.0
1743557586.4894772,0.0
1743557587.516753,1.6
1743557588.5429113,0.0
1743557589.5681872,0.1
1743557590.5925322,0.0
1743557591.616165,0.0
1743557592.6189437,0.0
1743557593.6383586,0.0
1743557594.6405585,0.0
1743557595.6569207,0.0
1743557596.6593812,0.0
