timestamp,cpu_percent
1744104085.266315,2.5
1744104085.4686594,0.0
1744104085.6713119,0.0
1744104085.873475,0.0
1744104086.075384,0.0
1744104086.2803323,0.0
1744104086.4821064,0.0
1744104086.6848676,0.0
1744104086.8869843,0.0
1744104087.091593,1.2
1744104087.2933152,0.0
1744104087.4955213,0.0
1744104087.697556,0.0
1744104087.9002135,0.6
1744104088.1017866,6.1
1744104088.3037467,0.0
1744104088.5056827,0.0
1744104088.707478,0.6
1744104088.9114282,0.0
1744104089.1190007,0.0
1744104089.3218899,0.0
1744104089.5247626,0.6
1744104089.727048,0.0
1744104089.928979,0.0
1744104090.1310613,0.0
1744104090.3333192,0.0
1744104090.5358794,0.0
1744104090.7379498,0.0
1744104090.9409401,0.0
1744104091.1426578,0.0
1744104091.3450005,0.0
1744104091.54854,0.0
1744104091.7504287,0.6
1744104091.9533207,0.0
1744104092.1550066,0.0
1744104092.357413,0.0
1744104092.5595632,0.0
1744104092.7731533,0.0
1744104092.9756088,0.6
1744104093.1782904,1.8
1744104093.380349,0.0
1744104093.5825727,0.0
1744104093.785437,0.0
1744104093.9879086,0.0
1744104094.1907527,0.0
1744104094.3928494,0.0
1744104094.5958278,0.0
1744104094.798186,0.0
1744104095.0003216,0.0
1744104095.2017372,0.0
1744104095.4034946,0.0
1744104095.6048608,0.0
1744104095.806403,0.0
1744104096.008474,0.0
1744104096.2100592,0.0
1744104096.4117968,0.0
1744104096.617208,0.0
1744104096.8195636,0.0
1744104097.021266,0.6
1744104097.2241652,0.6
1744104097.426752,0.6
1744104097.6312785,0.6
1744104097.833718,0.6
1744104098.036087,0.0
1744104098.238674,0.0
1744104098.4406433,0.0
1744104098.6428616,0.0
1744104098.8472712,0.0
1744104099.0546515,0.0
1744104099.256553,0.0
1744104099.458075,0.0
1744104099.660075,0.0
1744104099.862042,0.0
1744104100.065724,0.0
1744104100.267757,0.0
1744104100.469555,0.0
1744104100.6715984,0.6
1744104100.8733706,0.6
1744104101.0757494,0.6
1744104101.2786329,0.0
1744104101.4813268,0.0
1744104101.683777,0.0
1744104101.890081,1.2
1744104102.094165,0.6
1744104102.2962525,0.0
1744104102.4983065,0.0
1744104102.7004313,0.0
1744104102.9100027,0.0
1744104103.112327,0.0
1744104103.3142238,0.0
1744104103.4812753,0.6
1744104103.6836874,0.0
1744104103.8859687,0.0
1744104104.0901785,0.0
1744104104.2924733,0.0
1744104104.4944317,0.0
1744104104.6964643,0.0
1744104104.8984537,0.0
1744104105.0999596,6.2
1744104105.3031027,0.0
1744104105.5053692,0.0
1744104105.7077115,0.6
1744104105.9094384,0.0
1744104106.11114,1.2
1744104106.3129034,0.0
1744104106.5147097,0.0
1744104106.7159734,0.0
1744104106.921449,0.0
1744104107.1234262,0.0
1744104107.3304858,0.6
1744104107.534067,0.6
1744104107.7360144,0.0
1744104107.937594,0.0
1744104108.1405647,0.0
1744104108.3423784,0.0
1744104108.5478156,0.0
1744104108.7494004,0.0
1744104108.951382,0.0
1744104109.1536148,0.0
1744104109.355859,0.0
1744104109.5578535,0.0
1744104109.7599344,0.0
1744104109.9623067,0.0
1744104110.1639025,0.0
1744104110.3659043,0.0
1744104110.5676322,0.0
1744104110.7693338,0.0
1744104110.9722197,0.0
1744104111.174922,0.0
1744104111.3777132,0.0
1744104111.5804446,0.0
1744104111.7821898,0.0
1744104111.985112,0.0
1744104112.1880944,0.0
1744104112.391449,0.6
1744104112.5939379,0.0
1744104112.796084,0.0
1744104113.003765,0.0
1744104113.2099946,0.0
1744104113.4121544,0.0
1744104113.6145453,0.0
1744104113.816293,14.2
1744104114.0177896,8.0
1744104114.2191732,7.2
1744104114.4207227,3.7
1744104114.6232195,0.0
1744104114.8257415,0.0
1744104115.0278547,5.0
1744104115.2300215,0.0
1744104115.438678,0.0
1744104115.642005,0.0
1744104115.8442848,0.0
1744104116.046188,0.0
1744104116.2492816,0.0
1744104116.4513757,0.0
1744104116.6531458,0.0
1744104116.8558335,0.0
1744104117.0581403,0.0
1744104117.259715,0.0
1744104117.4616292,0.0
1744104117.6643808,0.0
1744104117.866098,0.0
1744104118.0676606,0.0
1744104118.2701538,0.0
1744104118.473262,0.0
1744104118.6764765,0.0
1744104118.878411,0.0
1744104119.080133,0.0
1744104119.2820458,0.0
1744104119.4839458,0.0
1744104119.6903002,0.0
1744104119.8923984,0.0
1744104120.0945761,0.0
1744104120.2969518,0.6
1744104120.4993398,0.0
1744104120.7017882,0.0
